X,Y,Red,Green,Blue
1144,602,206,201,185
1145,602,244,239,221
1146,602,236,228,208
1147,602,223,213,193
1148,602,218,207,185
1149,602,222,211,190
1150,602,224,214,193
1151,602,226,215,194
1152,602,226,215,194
1153,602,226,215,194
1154,602,227,216,194
1155,602,228,217,194
1156,602,228,217,194
1157,602,228,217,194
1158,602,230,219,195
1159,602,229,219,195
1160,602,229,218,194
1161,602,229,218,195
1162,602,229,218,195
1163,602,228,217,194
1164,602,228,217,194
1165,602,229,218,195
1166,602,230,219,195
1167,602,227,216,193
1168,602,230,219,195
1169,602,230,219,195
1170,602,229,218,195
1171,602,229,218,195
1172,602,229,218,195
1173,602,229,218,195
1174,602,229,218,194
1175,602,228,217,194
1176,602,228,217,194
1177,602,228,216,193
1178,602,228,216,193
1179,602,228,216,193
1180,602,227,215,193
1181,602,240,232,212
1182,602,247,241,222
1183,602,180,176,162
1184,602,88,84,77
1185,602,42,38,34
1186,602,41,38,34
1187,602,56,53,48
1188,602,114,111,101
1189,602,245,240,221
1190,602,247,242,223
1191,602,229,219,199
1192,602,225,215,194
1193,602,226,214,193
1194,602,227,215,193
1195,602,228,217,194
1196,602,235,225,204
1197,602,243,238,220
1198,602,210,205,189
1199,602,51,48,43
1200,602,39,36,32
1201,602,39,36,32
1202,602,42,39,35
1203,602,143,139,128
1204,602,247,242,223
1205,602,244,238,218
1206,602,237,228,207
1207,602,247,242,223
1208,602,224,219,202
1209,602,117,114,104
1210,602,73,70,63
1211,602,97,93,85
1212,602,167,163,150
1213,602,229,224,207
1214,602,247,242,222
1215,602,238,231,211
1216,602,196,174,148
1217,602,174,143,112
1218,602,169,136,104
1219,602,178,148,119
1220,602,191,166,141
1221,602,197,174,152
1222,602,153,141,125
1129,603,137,102,78
1130,603,138,103,79
1131,603,137,101,78
1132,603,96,71,54
1133,603,87,68,53
1134,603,121,104,88
1135,603,168,153,134
1136,603,188,173,152
1137,603,188,171,145
1138,603,229,218,194
1139,603,228,223,206
1140,603,132,128,117
1141,603,39,36,32
1142,603,39,36,32
1143,603,49,46,41
1144,603,109,105,96
1145,603,236,231,213
1146,603,244,238,219
1147,603,226,217,196
1148,603,218,205,184
1149,603,220,209,189
1150,603,224,213,192
1151,603,226,214,193
1152,603,226,215,194
1153,603,226,215,194
1154,603,227,216,194
1155,603,230,219,195
1156,603,230,219,196
1157,603,230,219,196
1158,603,230,219,196
1159,603,230,219,196
1160,603,231,220,197
1161,603,236,227,205
1162,603,241,234,214
1163,603,243,236,216
1164,603,240,232,212
1165,603,234,225,202
1166,603,231,221,197
1167,603,227,216,193
1168,603,229,218,194
1169,603,230,219,195
1170,603,230,219,195
1171,603,229,218,195
1172,603,229,218,194
1173,603,229,218,195
1174,603,228,218,194
1175,603,228,217,194
1176,603,229,218,194
1177,603,227,215,193
1178,603,227,215,193
1179,603,227,215,193
1180,603,228,216,193
1181,603,244,237,217
1182,603,247,242,223
1183,603,131,127,116
1184,603,56,53,48
1185,603,39,36,32
1186,603,39,36,32
1187,603,41,38,34
1188,603,71,68,61
1189,603,209,205,189
1190,603,245,240,221
1191,603,232,224,203
1192,603,227,216,195
1193,603,226,215,194
1194,603,228,216,193
1195,603,229,217,195
1196,603,235,225,204
1197,603,245,240,222
1198,603,222,218,200
1199,603,52,49,44
1200,603,39,36,32
1201,603,39,36,32
1202,603,39,36,32
1203,603,137,133,122
1204,603,242,237,218
1205,603,246,240,220
1206,603,241,233,213
1207,603,244,239,220
1208,603,163,159,146
1209,603,67,64,57
1210,603,43,40,36
1211,603,47,44,40
1212,603,62,59,53
1213,603,122,118,108
1214,603,213,208,192
1215,603,245,240,220
1216,603,226,215,195
1217,603,193,168,145
1218,603,173,142,111
1219,603,168,136,103
1220,603,177,148,119
1221,603,191,167,143
1222,603,195,180,160
1129,604,136,101,77
1130,604,131,97,75
1131,604,118,87,67
1132,604,90,69,52
1133,604,122,104,87
1134,604,173,158,138
1135,604,193,177,153
1136,604,176,158,134
1137,604,169,149,124
1138,604,226,215,192
1139,604,227,222,205
1140,604,130,127,116
1141,604,39,36,32
1142,604,39,36,32
1143,604,41,38,34
1144,604,58,54,49
1145,604,229,224,206
1146,604,246,241,222
1147,604,230,221,200
1148,604,222,211,190
1149,604,222,210,190
1150,604,224,213,192
1151,604,226,214,193
1152,604,227,215,193
1153,604,227,215,193
1154,604,230,219,198
1155,604,233,223,200
1156,604,232,221,198
1157,604,230,219,196
1158,604,230,219,196
1159,604,232,221,199
1160,604,238,230,208
1161,604,245,239,219
1162,604,247,241,222
1163,604,247,242,223
1164,604,246,241,222
1165,604,244,238,218
1166,604,237,229,208
1167,604,230,220,197
1168,604,228,217,194
1169,604,228,217,194
1170,604,229,218,195
